regiao;cultura;ano;quantidade;rotulo_cultura
Norte;algodão  ;2008;6696;algodão   (2008)
Nordeste;algodão  ;2008;1279608;algodão   (2008)
Sudeste;algodão  ;2008;130814;algodão   (2008)
Sul;algodão  ;2008;16760;algodão   (2008)
Centro-Oeste;algodão  ;2008;2549303;algodão   (2008)
Norte;algodão  ;2018;8000;algodão   (2018)
Nordeste;algodão  ;2018;1367272;algodão   (2018)
Sudeste;algodão  ;2018;113917;algodão   (2018)
Sul;algodão  ;2018;438;algodão   (2018)
Centro-Oeste;algodão  ;2018;3466498;algodão   (2018)
Norte;arroz;2008;1025034;arroz (2008)
Nordeste;arroz;2008;1163411;arroz (2008)
Sudeste;arroz;2008;236360;arroz (2008)
Sul;arroz;2008;8527183;arroz (2008)
Centro-Oeste;arroz;2008;1109477;arroz (2008)
Norte;arroz;2018;1022610;arroz (2018)
Nordeste;arroz;2018;394271;arroz (2018)
Sudeste;arroz;2018;66915;arroz (2018)
Sul;arroz;2018;9629178;arroz (2018)
Centro-Oeste;arroz;2018;695438;arroz (2018)
Norte;banana  ;2008;861822;banana   (2008)
Nordeste;banana  ;2008;2853604;banana   (2008)
Sudeste;banana  ;2008;2110068;banana   (2008)
Sul;banana  ;2008;942974;banana   (2008)
Centro-Oeste;banana  ;2008;229682;banana   (2008)
Norte;banana  ;2018;871620;banana   (2018)
Nordeste;banana  ;2018;2198042;banana   (2018)
Sudeste;banana  ;2018;2319618;banana   (2018)
Sul;banana  ;2018;1033570;banana   (2018)
Centro-Oeste;banana  ;2018;300740;banana   (2018)
Norte;café;2008;133609;café (2008)
Nordeste;café;2008;169023;café (2008)
Sudeste;café;2008;2306422;café (2008)
Sul;café;2008;156641;café (2008)
Centro-Oeste;café;2008;31232;café (2008)
Norte;café;2018;138849;café (2018)
Nordeste;café;2018;249950;café (2018)
Sudeste;café;2018;3069851;café (2018)
Sul;café;2018;65252;café (2018)
Centro-Oeste;café;2018;28827;café (2018)
Norte;cana-de-açúcar;2008;1597337;cana-de-açúcar (2008)
Nordeste;cana-de-açúcar;2008;74155804;cana-de-açúcar (2008)
